dist,station,value,date
Tiruppur,Udumalpet,8,31-08-2008
Tiruppur,Palladam,5.3,31-08-2008
Tiruppur,District Collector Office,5,31-08-2008
Tiruppur,Udumalpet,13,01-09-2008
Tiruppur,Avinashi,11,01-09-2008
Tiruppur,District Collector Office,6,01-09-2008
Tiruppur,moolanur,5,01-09-2008
Tiruppur,Dharapuram,3,01-09-2008
Tiruppur,District Collector Office,27,04-09-2008
Tiruppur,Dharapuram,23,04-09-2008
Tiruppur,moolanur,12,04-09-2008
Tiruppur,Udumalpet,11,04-09-2008
Tiruppur,Avinashi,11,04-09-2008
Tiruppur,Kangeyam,5.8,04-09-2008
Tiruppur,Palladam,4.3,04-09-2008
Tiruppur,Dharapuram,86,05-09-2008
Tiruppur,District Collector Office,72,05-09-2008
Tiruppur,Avinashi,66,05-09-2008
Tiruppur,moolanur,54,05-09-2008
Tiruppur,Udumalpet,5,05-09-2008
Tiruppur,Dharapuram,2,09-09-2008
Tiruppur,Udumalpet,4.4,10-09-2008
Tiruppur,Udumalpet,1.2,20-09-2008
Tiruppur,Avinashi,23.5,21-09-2008
Tiruppur,Dharapuram,18,05-10-2008
Tiruppur,District Collector Office,17,05-10-2008
Tiruppur,Udumalpet,12,05-10-2008
Tiruppur,Avinashi,10,05-10-2008
Tiruppur,moolanur,4,05-10-2008
Tiruppur,Palladam,1.4,05-10-2008
Tiruppur,Palladam,27.01,08-10-2008
Tiruppur,District Collector Office,14,08-10-2008
Tiruppur,Avinashi,3,08-10-2008
Tiruppur,District Collector Office,26,09-10-2008
Tiruppur,Udumalpet,25,09-10-2008
Tiruppur,Palladam,4.2,09-10-2008
Tiruppur,Palladam,30,12-10-2008
Tiruppur,District Collector Office,6,12-10-2008
Tiruppur,Avinashi,1.5,12-10-2008
Tiruppur,District Collector Office,21,13-10-2008
Tiruppur,Avinashi,10,13-10-2008
Tiruppur,Palladam,9,13-10-2008
Tiruppur,Kangeyam,8,13-10-2008
Tiruppur,Udumalpet,6,13-10-2008
Tiruppur,Dharapuram,47,14-10-2008
Tiruppur,Palladam,25,14-10-2008
Tiruppur,Udumalpet,9,14-10-2008
Tiruppur,District Collector Office,9,14-10-2008
Tiruppur,Avinashi,1,14-10-2008
Tiruppur,Dharapuram,14,15-10-2008
Tiruppur,Kangeyam,10,15-10-2008
Tiruppur,Palladam,9.01,15-10-2008
Tiruppur,moolanur,9,15-10-2008
Tiruppur,District Collector Office,9,15-10-2008
Tiruppur,Avinashi,8.05,15-10-2008
Tiruppur,Udumalpet,5,15-10-2008
Tiruppur,Dharapuram,40,16-10-2008
Tiruppur,District Collector Office,36,16-10-2008
Tiruppur,Avinashi,20.5,16-10-2008
Tiruppur,Palladam,20,16-10-2008
Tiruppur,Kangeyam,19.4,16-10-2008
Tiruppur,moolanur,19,16-10-2008
Tiruppur,Udumalpet,9,16-10-2008
Tiruppur,District Collector Office,21,17-10-2008
Tiruppur,Avinashi,15.5,17-10-2008
Tiruppur,moolanur,15,17-10-2008
Tiruppur,Dharapuram,12,17-10-2008
Tiruppur,Palladam,8.5,17-10-2008
Tiruppur,Kangeyam,3.1,17-10-2008
Tiruppur,Udumalpet,2,17-10-2008
Tiruppur,Udumalpet,17,18-10-2008
Tiruppur,Dharapuram,10,18-10-2008
Tiruppur,Kangeyam,4,18-10-2008
Tiruppur,Palladam,2.5,18-10-2008
Tiruppur,Avinashi,2,18-10-2008
Tiruppur,Kangeyam,41.2,19-10-2008
Tiruppur,Udumalpet,13,19-10-2008
Tiruppur,Palladam,12.9,19-10-2008
Tiruppur,moolanur,8,19-10-2008
Tiruppur,Dharapuram,2,19-10-2008
Tiruppur,District Collector Office,1.2,19-10-2008
Tiruppur,Kangeyam,66.8,20-10-2008
Tiruppur,District Collector Office,58,20-10-2008
Tiruppur,Avinashi,55,20-10-2008
Tiruppur,Dharapuram,25,20-10-2008
Tiruppur,Palladam,16,20-10-2008
Tiruppur,Udumalpet,14,20-10-2008
Tiruppur,moolanur,7,20-10-2008
Tiruppur,Udumalpet,89,21-10-2008
Tiruppur,Dharapuram,82,21-10-2008
Tiruppur,moolanur,60,21-10-2008
Tiruppur,Palladam,49,21-10-2008
Tiruppur,District Collector Office,48,21-10-2008
Tiruppur,Kangeyam,35.4,21-10-2008
Tiruppur,Avinashi,30,21-10-2008
Tiruppur,District Collector Office,66,22-10-2008
Tiruppur,Avinashi,58.5,22-10-2008
Tiruppur,Palladam,45,22-10-2008
Tiruppur,Udumalpet,34,22-10-2008
Tiruppur,Dharapuram,30,22-10-2008
Tiruppur,moolanur,18,22-10-2008
Tiruppur,Kangeyam,5.2,22-10-2008
Tiruppur,Udumalpet,4,23-10-2008
Tiruppur,Dharapuram,3,23-10-2008
Tiruppur,Kangeyam,2,23-10-2008
Tiruppur,moolanur,2,23-10-2008
Tiruppur,Udumalpet,30,24-10-2008
Tiruppur,moolanur,9,24-10-2008
Tiruppur,Kangeyam,8.2,24-10-2008
Tiruppur,District Collector Office,3,24-10-2008
Tiruppur,Avinashi,3,24-10-2008
Tiruppur,Palladam,1.1,24-10-2008
Tiruppur,District Collector Office,1,25-10-2008
Tiruppur,Udumalpet,8,26-10-2008
Tiruppur,Dharapuram,4,26-10-2008
Tiruppur,District Collector Office,3,26-10-2008
Tiruppur,Avinashi,2,26-10-2008
Tiruppur,Udumalpet,2,27-10-2008
Tiruppur,Palladam,4,29-10-2008
Tiruppur,moolanur,8,20-11-2008
Tiruppur,District Collector Office,4,20-11-2008
Tiruppur,Avinashi,4,20-11-2008
Tiruppur,Kangeyam,3.8,20-11-2008
Tiruppur,Udumalpet,3,20-11-2008
Tiruppur,Palladam,2.2,20-11-2008
Tiruppur,Dharapuram,2,20-11-2008
Tiruppur,District Collector Office,11,21-11-2008
Tiruppur,Dharapuram,5,22-11-2008
