Well No,Well Type,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS (mg/L),NO2+NO3 (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Cl (mg/L),SO4 (mg/L),CO3 (mg/L),HCO3 (mg/L),F (mg/L),pH_GEN,EC_GEN (µS/cm),HAR_Total (mg/L),SAR,RSC (meq/L),Na%
HP2ETR12,Bore Well,Tiruppur,Kangeyam,Rasathavalasu,"11°02'15""","77°42'50""",02-07-2018,104,24,38,55.89,113,11,135,64,3.6802,196.22,1,8.3,643,325,2.72743,0,42.03914
63501,Dug Well,Tiruppur,Dharapuram,Munduvelampatty,"10°42'30""","77°19'40""",02-07-2018,1498,58,48,116.64,299,30,369,98,0,561.2,1.67,8.1,2470,600,5.311027,0,50.47542
63505,Dug Well,Tiruppur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",02-07-2018,542,6,6,37.665,131,19,85,83,0,305,1.37,8.2,950,170,4.371079,1.600551,59.46178
63517,Dug Well,Tiruppur,Dharapuram,Kulathupalayam,"10°45'35""","77°35'00""",02-07-2018,953,29,40,38.88,177,104,213,77,0,353.8,0.57,7.9,1550,260,4.776803,0.6036903,49.49711
63532,Dug Well,Tiruppur,Dharapuram,Uthiyur,"10°53'40""","77°31'40""",02-07-2018,2809,58,304,204.12,340,90,1134,173,12,585.6,0.43,8.5,4920,1600,3.699158,0,30.14581
63533,Dug Well,Tiruppur,Dharapuram,Sinukinari,"10°50'20""","77°33'05""",02-07-2018,963,17,44,58.32,196,27,355,116,12,158.6,1.66,8.3,1590,350,4.558763,0,52.59119
63542,Dug Well,Tiruppur,Kangeyam,Vellakoil,"10°56'40""","77°42'55""",02-07-2018,667,10,44,1.215,198,11,163,55,0,305,1.09,8.1,1110,115,8.038542,2.703537,76.96848
63801,Dug Well,Tiruppur,Udumalaipettai,Ramachandrapuram,"10°43'30""","77°10'35""",02-07-2018,99,1,4,14.58,12,2,7,9,1.378927,73.52131,0.11,8.3,170,70,0.6240138,0,26.46242
63811,Dug Well,Tiruppur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",02-07-2018,433,5,14,20.655,120,6,82,21,2.806185,237.1309,0.21,8.1,760,120,4.766584,1.582098,67.16482
63820A,Dug Well,Tiruppur,Madathukulam,Thungavi,"10°37'34""","77°19'46""",02-07-2018,1028,15,12,111.78,189,15,262,179,12,366,1.42,8.3,1880,490,3.71446,0,44.67553
HP2CTR02,Bore Well,Tiruppur,Avinashi,Sevur,"11°14'50""","77°14'30""",02-07-2018,293,7,36,15.795,46,5,16,20,1.396404,148.5536,0.77,8,510,155,1.608106,0,38.29384
HP2CTR04,Bore Well,Tiruppur,Avinashi,Thathanur,"11°18'20""","77°16'40""",02-07-2018,526,16,40,34.02,90,16,99,49,12,231.8,1.41,8.6,910,240,2.52813,0,42.92693
HP2CTR12,Bore Well,Tiruppur,Palladam,Samalapuram,"11°14'00""","77°12'00""",02-07-2018,73,10,8,7.29,9,1,7,9,1.438802,48.40308,0.31,8.5,140,50,0.5538778,0,27.64338
