Well No,District,Tahsil / Taluk,Village,Latitude,Longitude,Date of collection,TDS,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH_GEN,EC_GEN,ALK-TOT,Alk-Phen,HAR_Total,SAR,HAR_Ca,RSC,Na%
63801,Tirupur,Udumalaipettai,Ramachandrapuram,"10°43'30""","77°10'35""",01-01-1988,658.0,17.0,42.0,54.0,120.0,12.0,110.0,96.0,78.0,139.0,,8.8,1210.0,,,325.0,2.886604,,0.0,43.259
63803,Tirupur,Udumalaipettai,Velayuthagoundampudur,"10°44'15""","77°16'40""",01-01-1988,1289.0,37.0,160.0,122.0,115.0,16.0,446.0,62.0,54.0,299.0,,8.7,2360.0,,,900.0,1.6663,,0.0,21.34475
63808,Tirupur,Udumalaipettai,Devanampudur,"10°33'00""","77°05'35""",01-01-1988,1203.0,25.0,80.0,56.0,258.0,24.0,351.0,154.0,24.0,293.0,,8.3,2050.0,,,430.0,5.411743,,0.0,54.91275
63810,Tirupur,Udumalaipettai,Chinnapoolankinar,"10°35'20""","77°12'15""",01-01-1988,5481.0,69.0,368.0,141.0,1251.0,141.0,1574.0,1442.0,54.0,409.0,,8.4,8710.0,,,1500.0,14.05758,,0.0,61.84318
63811,Tirupur,Udumalaipettai,Udumalpet,"10°34'25""","77°14'25""",01-01-1988,1992.0,40.0,148.0,100.0,416.0,8.0,638.0,293.0,54.0,317.0,,8.5,3450.0,,,780.0,6.475986,,0.0,53.35499
63816,Tirupur,Udumalaipettai,Perisanampatti,"10°30'00""","77°17'25""",01-01-1988,623.0,23.0,84.0,57.0,53.0,4.0,184.0,17.0,18.0,207.0,,8.3,1140.0,,,445.0,1.093931,,0.0,20.41939
63819,Tirupur,Madathukulam,Karatholuvu,"10°37'20""","77°22'33""",01-01-1988,1690.0,27.0,108.0,100.0,368.0,4.0,496.0,216.0,78.0,403.0,,8.3,2970.0,,,680.0,6.134267,,0.0,53.84533
63821,Tirupur,Madathukulam,Palappampatty,"10°34'38""","77°18'08""",01-01-1988,965.0,16.0,36.0,35.0,71.0,16.0,560.0,24.0,72.0,159.0,,8.8,830.0,,,235.0,2.019624,,0.3295633,37.78137
63324,Tirupur,Avinashi,Tundarkarampalayam,"11°16'30""","77°12'20""",01-07-1988,491.0,18.0,38.0,62.0,48.0,8.0,64.0,22.0,78.0,183.0,,8.9,950.0,,,350.0,1.116161,,0.0,22.47277
63416,Tirupur,Tirupur,Thutheripalayam,"10°56'10""","77°20'20""",01-07-1988,1931.0,56.0,88.0,199.0,281.0,14.0,581.0,326.0,18.0,354.0,,8.6,3390.0,,,1040.0,3.793154,,0.0,36.65256
63417,Tirupur,Tirupur,Pongalur,"10°58'30""","77°21'50""",01-07-1988,129.0,4.0,20.0,7.0,53.0,1.0,25.0,4.0,0.0,0.0,,3.4,400.0,,,80.0,2.598587,,0.0,59.03541
63501,Tirupur,Dharapuram,Munduvelampatty,"10°42'30""","77°19'40""",01-07-1988,1239.0,29.0,92.0,97.0,193.0,14.0,326.0,211.0,42.0,268.0,,8.4,2110.0,,,630.0,3.348225,,0.0,39.36472
63505,Tirupur,Dharapuram,Dalavaypattinam,"10°40'25""","77°29'00""",01-07-1988,835.0,1.0,52.0,71.0,156.0,16.0,220.0,101.0,30.0,366.0,,8.4,1570.0,,,420.0,3.303679,,0.0,43.40759
