Station Code,Station Name,District,Latitude,Longitude,Year,Month,Day,RF in mm
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,3,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,4,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,5,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,6,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,7,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,8,2.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,9,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,10,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,11,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,12,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,13,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,14,2.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,15,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,16,8.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,17,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,18,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,19,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,20,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,21,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,22,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,23,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,24,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,25,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,26,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,27,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,28,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,29,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,30,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,5,31,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,1,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,2,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,3,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,4,23.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,5,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,6,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,7,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,8,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,9,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,10,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,11,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,12,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,13,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,14,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,15,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,16,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,17,3.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,18,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,19,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,20,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,21,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,22,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,23,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,24,6.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,25,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,26,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,27,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,28,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,29,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,6,30,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,1,0.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,2,1.00
AMARVATI_NGR,Amaravathi Nagar              ,Tiruppur,"10°25'31""","77°15'38""",2021,7,3,0.00
