Well No,Type,Well Type,Agency,State,District,Tahsil / Taluk,Block / Mandal,Village,Hamlet,Survey No,Owner,Additonal Information,Basin Code,Sub Basin,Minor Basin,Geology,Geomorphology,Toposheet No,Latitude,Longitude,Grid E,Grid N,Site ID,Well use,Surface Water Influence,Local Morphology,Command Area,Name of Command,Well Location,Well Depth ,Height of Measuring Point,Elevation of Ground Level,DWLR installed,DWLR No,DWLR type,stratigraphy,Station Name,MonitorFrom,MonitorTo,Land Use,Monitoring Type,WQ Issue
63539,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Nelali,,,Panchayat,,002,Amaravathy,Mulanur,GNS,PE,58F5,10.92137,77.45173,,,F,Public Supply,,PE,FALSE,,Near the elementarySchool,19.42000008,0.899999976,312,FALSE,,,Archaean,Nathamvalasu,27-07-1971,,Rural,,No
63540,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Kadayur,,,Koil Well,,002,Amaravathy,Kangeyam,GNS,PE,58F9,10.98696,77.51771,,,F,Domestic,,PE,FALSE,,Alammuramman Koil.,6.860000134,0.790000021,308,FALSE,,,Archaean,Kadaiyur,01-01-6435,,Rural,,No
63541,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Kangeyam,Kangayam,Uthama Palayam,,,Panchayat,,002,Amaravathy,Kankeyam,CNK,PE,58F9,10.9623,77.64641,,,F,Domestic,,PE,FALSE,,Near the Panchayat Union Elementary School.,21.29999924,0.689999998,258,FALSE,,,Archaean,Olapalayam,01-07-1971,,Rural,,No
63549,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Kundadam,Maruthur,,,Public,,002,Amaravathi,Dharapuram,GNS,PE,58F5,10.76812,77.40911,,,F,Domestic,,PE,FALSE,,In centre of village,17.54999924,0.819999993,294,FALSE,,,Archaean,Chinnamolarpatt,05-10-2011,,Rural,Every month,NO
63550,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Mulanur,Kilangundal,,,Public,,002,Amaravathi,Moolanur,GNS,PE,58F9,10.67654,77.74214,,,F,Domestic,,PE,FALSE,,left side and end of the village,18.95999908,0.899999976,277,FALSE,,,Archaean,Silukkanaickenp,05-10-2011,,Rural,Every Month,NO
63551,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Kolathupalayam,,,Public,,002,Amaravathi,Dharapuram,GNS,PE,58F9,10.77878,77.59166,,,F,Domestic,,PE,FALSE,,Near the elementary School,8.369999886,0.800000012,229,FALSE,,,Archean,Karuppampalayam,24-04-2003,,Rural,Every month,NO
63552,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Kolathupalayam,,,Public,,002,Amaravathi,Dharapuram,GNS,PE,58F9,10.73944,77.63943,,,F,Domestic,,PE,FALSE,,In center of village,17.89999962,1.049999952,275,FALSE,,,Archean,Sri Rangakavund,24-04-2004,,Rural,Every month,NO
63553,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Munduvelampatti,,,Public,,002,Amaravathi,Dharapuram,GNS,PE,58E6,10.75238,77.34223,,,F,Domestic,,PE,FALSE,,In front of Sivan kovil,15.89999962,1.399999976,299,FALSE,,,Archean,Nallur,24-04-2003,,Rural,Every month,NO
63554,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Dharapuram North,,,Public,,002,Amaravathi,Dharapuram,GNS,PE,58F6,10.63285,77.41998,,,F,Domestic,,PE,FALSE,,"Near OHT, AWAY FROM THE AD COLONY",48.09999847,0.800000012,281,FALSE,,,Archean,Kangeyanpalayam,25-04-2003,,Rural,Every month,NO
63555,OB,Dug Well,"WRD, Tamil Nadu",22,19.Tiruppur,Dharapuram,Dharapuram,Utthappalayam,,,Public,,002,Amaravathi,Dharapuram,GNS,PE,58F10,10.63393,77.53786,,,F,Domestic,,PE,FALSE,,Adjacent to Dharapuram palani main road,48.09999847,1,283,FALSE,,,Archean,Dhasavanaickenp,25-04-2003,,Rural,Every month,NO
